Content Type Encoding 
Version Assigned 
Number 
*/* 1.1 0x00 
text/* 1.1 0x01 
text/html 1.1 0x02 
text/plain 1.1 0x03 
text/x-hdml 1.1 0x04 
text/x-ttml 1.1 0x05 
text/x-vCalendar 1.1 0x06 
text/x-vCard 1.1 0x07 
text/vnd.wap.wml 1.1 0x08 
text/vnd.wap.wmlscript 1.1 0x09 
text/vnd.wap.wta-event 1.1 0x0A 
multipart/* 1.1 0x0B 
multipart/mixed 1.1 0x0C 
multipart/form-data 1.1 0x0D 
multipart/byterantes 1.1 0x0E 
multipart/alternative 1.1 0x0F 
application/* 1.1 0x10 
application/java-vm 1.1 0x11 
application/x-www-form-urlencoded 1.1 0x12 
application/x-hdmlc 1.1 0x13 
application/vnd.wap.wmlc 1.1 0x14 
application/vnd.wap.wmlscriptc 1.1 0x15 
application/vnd.wap.wta-eventc 1.1 0x16 
application/vnd.wap.uaprof 1.1 0x17 
application/vnd.wap.wtls-ca-certificate 1.1 0x18 
application/vnd.wap.wtls-user-certificate 1.1 0x19 
application/x-x509-ca-cert 1.1 0x1A 
application/x-x509-user-cert 1.1 0x1B 
image/* 1.1 0x1C 
image/gif 1.1 0x1D 
image/jpeg 1.1 0x1E 
image/tiff 1.1 0x1F 
image/png 1.1 0x20 
image/vnd.wap.wbmp 1.1 0x21 
application/vnd.wap.multipart.* 1.1 0x22 
application/vnd.wap.multipart.mixed 1.1 0x23 
application/vnd.wap.multipart.form-data 1.1 0x24 
application/vnd.wap.multipart.byteranges 1.1 0x25 
application/vnd.wap.multipart.alternative 1.1 0x26 
application/xml 1.1 0x27 
text/xml 1.1 0x28 
application/vnd.wap.wbxml 1.1 0x29 
application/x-x968-cross-cert 1.1 0x2A 
application/x-x968-ca-cert 1.1 0x2B 
application/x-x968-user-cert 1.1 0x2C 
text/vnd.wap.si 1.1 0x2D 
application/vnd.wap.sic 1.2 0x2E 
text/vnd.wap.sl 1.2 0x2F 
application/vnd.wap.slc 1.2 0x30 
text/vnd.wap.co 1.2 0x31 
application/vnd.wap.coc 1.2 0x32 
application/vnd.wap.multipart.related 1.2 0x33 
application/vnd.wap.sia 1.2 0x34 
text/vnd.wap.connectivity-xml 1.3 0x35 
application/vnd.wap.connectivity-wbxml 1.3 0x36 
application/pkcs7-mime 1.4 0x37 
application/vnd.wap.hashed-certificate 1.4 0x38 
application/vnd.wap.signed-certificate 1.4 0x39 
application/vnd.wap.cert-response 1.4 0x3A 
application/xhtml+xml 1.4 0x3B 
application/wml+xml 1.4 0x3C 
text/css 1.4 0x3D 
application/vnd.wap.mms-message 1.4 0x3E 
application/vnd.wap.rollover-certificate 1.4 0x3F 
application/vnd.wap.locc+wbxml 1.5 0x40 
application/vnd.wap.loc+xml 1.5 0x41 
application/vnd.syncml.dm+wbxml 1.5 0x42 
application/vnd.syncml.dm+xml 1.5 0x43 
application/vnd.syncml.notification 1.5 0x44 
application/vnd.wap.xhtml+xml 1.5 0x45 
application/vnd.wv.csp.cir 1.5 0x46 
application/vnd.oma.dd+xml 1.5 0x47 
application/vnd.oma.drm.message 1.5 0x48 
application/vnd.oma.drm.content 1.5 0x49 
application/vnd.oma.drm.rights+xml 1.5 0x4A 
application/vnd.oma.drm.rights+wbxml 1.5 0x4B 
